docid,halId_s,version_i,docType_s,citationFull_s,citationRef_s
3524650,hal-03524650,1,COMM,"Stéphane Crozat. Les tropismes du numérique. <i>H2PTM’15 : le numérique à l’ère d’Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.313-328. <a target=""_blank"" href=""https://hal.science/hal-03524650v1"">&#x27E8;hal-03524650&#x27E9;</a>","<i>H2PTM’15 : le numérique à l’ère d’Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.313-328"
1219142,hal-01219142,1,COMM,"Mohamed Djouani. Navigation et sélection de l'information : retour d'expériences. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Les laboratoires Paragraphe, AIAC, CREM, DeVISU, DICEN IDF, ELLIADD, GRIPIC, MICA, Oct 2015, Paris, France. pp.57-72. <a target=""_blank"" href=""https://hal.science/hal-01219142v1"">&#x27E8;hal-01219142&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Les laboratoires Paragraphe, AIAC, CREM, DeVISU, DICEN IDF, ELLIADD, GRIPIC, MICA, Oct 2015, Paris, France. pp.57-72"
2480493,sic_02480493,1,COMM,"Olivier Le Deuff, Jean David, Clément Borel, Arthur Perret. Paul Otlet sur le web : une étude cartographique. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbelliard, France. pp.162-176. <a target=""_blank"" href=""https://archivesic.ccsd.cnrs.fr/sic_02480493v1"">&#x27E8;sic_02480493&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbelliard, France. pp.162-176"
4965440,hal-02941895,1,COMM,"Jean-Pierre Cahier, Patrick Brébion, Nada Matta. Co-construction de scénarios de crise par des outils de conception multi-points de vue. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.74-90. <a target=""_blank"" href=""https://utt.hal.science/hal-02941895v1"">&#x27E8;hal-02941895&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.74-90"
5196061,hal-04402323,1,COMM,"Eric Lacombe. Esquisse d'une théorie du sens à l'ère numérique : cas d'application aux actes des conférences H2PTM. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.132-147. <a target=""_blank"" href=""https://hal.science/hal-04402323v1"">&#x27E8;hal-04402323&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.132-147"
5190167,hal-05190167,1,COMM,"Nathalie Pignard-Cheynel -, Florence Reynier. Analyse des architectures des pages d'accueil de sites d'information français : le lourd héritage du modèle de la presse écrite. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.165-179. <a target=""_blank"" href=""https://hal.science/hal-05190167v1"">&#x27E8;hal-05190167&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.165-179"
5196098,hal-04397463,1,COMM,"Asma Djebbi. Désinformation et ""pure players"" : le cas des pages Instagram de Meem magazine. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.52-65. <a target=""_blank"" href=""https://hal.science/hal-04397463v1"">&#x27E8;hal-04397463&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.52-65"
5191402,hal-05191402,1,COMM,"Maria Aparecida Moura. Between dense hypertexts and hyperconsumerism. Information, personalization and mobile consumption. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.36-49. <a target=""_blank"" href=""https://hal.science/hal-05191402v1"">&#x27E8;hal-05191402&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.36-49"
5188707,hal-05188707,1,COMM,"Baptiste Campion. Effet d'un récit non-linéaire sur la construction d'un modèle mental de situation. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.87-100. <a target=""_blank"" href=""https://hal.science/hal-05188707v1"">&#x27E8;hal-05188707&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.87-100"
5188718,hal-05188718,1,COMM,"Marcel O'Gorman. From Hypertext Theory to Applied Media Theory. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.31-40. <a target=""_blank"" href=""https://hal.science/hal-05188718v1"">&#x27E8;hal-05188718&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.31-40"
