doc,act,tag
16,43,179
16,41,180
16,42,180
16,43,180
16,41,181
16,42,181
16,43,181
16,41,182
16,42,182
16,43,182
16,41,32
16,42,32
16,43,32
16,41,12
16,42,12
16,43,12
16,41,13
16,42,13
16,43,13
16,41,14
16,42,14
16,43,14
17,44,183
17,44,184
17,44,185
17,44,186
17,44,187
17,44,188
17,44,189
17,44,190
17,44,191
17,44,192
17,44,193
17,44,194
17,44,195
17,44,196
17,44,32
17,44,12
17,44,34
17,44,14
18,45,197
18,46,197
18,45,198
18,46,198
18,45,199
18,46,199
18,45,200
18,46,200
18,45,201
18,46,201
18,45,202
18,46,202
18,45,203
18,46,203
18,45,204
18,46,204
18,45,205
18,46,205
18,45,206
18,46,206
18,45,207
18,46,207
18,45,208
18,46,208
18,45,200
18,46,200
18,45,209
18,46,209
18,45,210
18,46,210
18,45,198
18,46,198
18,45,211
18,46,211
18,45,150
18,46,150
18,45,206
18,46,206
18,45,212
18,46,212
18,45,213
18,46,213
18,45,214
18,46,214
18,45,32
18,46,32
18,45,12
18,46,12
18,45,34
18,46,34
18,45,14
18,46,14
19,47,215
19,47,216
19,47,217
19,47,218
19,47,219
19,47,220
19,47,221
19,47,222
19,47,223
19,47,224
19,47,225
19,47,226
19,47,32
19,47,12
19,47,13
19,47,14
20,48,227
20,48,228
20,48,229
20,48,230
20,48,31
20,48,12
20,48,13
20,48,14
21,49,231
21,50,231
21,51,231
21,49,232
21,50,232
21,51,232
21,49,233
21,50,233
21,51,233
21,49,234
21,50,234
21,51,234
21,49,235
21,50,235
21,51,235
21,49,236
21,50,236
21,51,236
21,49,231
21,50,231
21,51,231
21,49,237
21,50,237
21,51,237
21,49,238
21,50,238
21,51,238
21,49,239
21,50,239
21,51,239
21,49,32
21,50,32
21,51,32
21,49,12
21,50,12
21,51,12
21,49,13
21,50,13
21,51,13
21,49,14
21,50,14
21,51,14
22,52,240
22,53,240
22,52,241
22,53,241
22,52,242
22,53,242
22,52,243
22,53,243
22,52,244
22,53,244
22,52,245
22,53,245
22,52,246
22,53,246
22,52,247
22,53,247
22,52,248
22,53,248
22,52,249
22,53,249
22,52,250
22,53,250
22,52,251
22,53,251
22,52,32
22,53,32
22,52,33
22,53,33
22,52,13
22,53,13
22,52,14
22,53,14
23,54,252
23,55,252
23,56,252
23,54,253
23,55,253
23,56,253
23,54,254
23,55,254
23,56,254
23,54,255
23,55,255
23,56,255
23,54,256
23,55,256
23,56,256
23,54,257
23,55,257
23,56,257
23,54,32
23,55,32
23,56,32
23,54,12
23,55,12
23,56,12
23,54,13
23,55,13
23,56,13
23,54,14
23,55,14
23,56,14
24,57,258
24,57,259
24,57,260
24,57,261
24,57,262
24,57,263
24,57,264
24,57,265
24,57,266
24,57,259
24,57,32
24,57,12
24,57,13
24,57,14
25,58,267
25,58,268
25,58,269
25,58,270
25,58,271
25,58,272
25,58,268
25,58,273
25,58,274
25,58,271
25,58,31
25,58,275
25,58,276
25,58,12
25,58,13
25,58,14
26,59,277
26,60,277
26,59,278
26,60,278
26,59,279
26,60,279
26,59,280
26,60,280
26,59,281
26,60,281
26,59,282
26,60,282
26,59,283
26,60,283
26,59,284
26,60,284
26,59,269
26,60,269
26,59,285
26,60,285
26,59,279
26,60,279
26,59,280
26,60,280
26,59,286
26,60,286
26,59,282
26,60,282
26,59,283
26,60,283
26,59,167
26,60,167
26,59,278
26,60,278
26,59,277
26,60,277
26,59,287
26,60,287
26,59,288
26,60,288
26,59,32
26,60,32
